MAC,FABRICANTE
2CF4C5     ,Avaya Inc
70-38-EE   ,Avaya Inc
7038EE     ,Avaya Inc
88-F0-31   ,"Cisco Systems, Inc"
88F031     ,"Cisco Systems, Inc"
50-87-89   ,"Cisco Systems, Inc"
508789,"Cisco Systems, Inc"
38-1C-1A   ,"Cisco Systems, Inc"
381C1A     ,"Cisco Systems, Inc"
F4-0F-1B   ,"Cisco Systems, Inc"
F40F1B     ,"Cisco Systems, Inc"
BC-67-1C   ,"Cisco Systems, Inc"
BC671C     ,"Cisco Systems, Inc"
A0-EC-F9   ,"Cisco Systems, Inc"
A0ECF9     ,"Cisco Systems, Inc"
D4-6D-50   ,"Cisco Systems, Inc"
D46D50     ,"Cisco Systems, Inc"
1C-E8-5D   ,"Cisco Systems, Inc"
1CE85D     ,"Cisco Systems, Inc"
C4-72-95   ,"Cisco Systems, Inc"
C47295     ,"Cisco Systems, Inc"
A0-55-4F   ,"Cisco Systems, Inc"
A0554F     ,"Cisco Systems, Inc"
84-B8-02   ,"Cisco Systems, Inc"
84B802     ,"Cisco Systems, Inc"
BC-C4-93   ,"Cisco Systems, Inc"
BCC493     ,"Cisco Systems, Inc"
00-19-47   ,Cisco SPVTG
1947,Cisco SPVTG
00-22-CE   ,Cisco SPVTG
0022CE     ,Cisco SPVTG
F0-29-29   ,"Cisco Systems, Inc"
F02929     ,"Cisco Systems, Inc"
EC-E1-A9   ,"Cisco Systems, Inc"
ECE1A9     ,"Cisco Systems, Inc"
7C-69-F6   ,"Cisco Systems, Inc"
7C69F6     ,"Cisco Systems, Inc"
C0-8C-60   ,"Cisco Systems, Inc"
C08C60     ,"Cisco Systems, Inc"
C0-25-5C   ,"Cisco Systems, Inc"
C0255C     ,"Cisco Systems, Inc"
88-5A-92   ,"Cisco Systems, Inc"
885A92     ,"Cisco Systems, Inc"
E4-C7-22   ,"Cisco Systems, Inc"
E4C722     ,"Cisco Systems, Inc"
C0-7B-BC   ,"Cisco Systems, Inc"
C07BBC     ,"Cisco Systems, Inc"
00-50-94   ,Pace plc
5094,Pace plc
00-90-F2   ,"Cisco Systems, Inc"
0090F2     ,"Cisco Systems, Inc"
00-17-3B   ,"Cisco Systems, Inc"
00173B     ,"Cisco Systems, Inc"
00-40-0B   ,"Cisco Systems, Inc"
00400B     ,"Cisco Systems, Inc"
00-60-09   ,"Cisco Systems, Inc"
6009,"Cisco Systems, Inc"
00-60-47   ,"Cisco Systems, Inc"
6047,"Cisco Systems, Inc"
00-06-C1   ,"Cisco Systems, Inc"
0006C1     ,"Cisco Systems, Inc"
00-E0-14   ,"Cisco Systems, Inc"
0,"Cisco Systems, Inc"
00-E0-1E   ,"Cisco Systems, Inc"
00E01E     ,"Cisco Systems, Inc"
AC-F2-C5   ,"Cisco Systems, Inc"
ACF2C5     ,"Cisco Systems, Inc"
CC-C7-60   ,"Apple, Inc."
CCC760     ,"Apple, Inc."
08-74-02   ,"Apple, Inc."
87402,"Apple, Inc."
28-5A-EB   ,"Apple, Inc."
285AEB     ,"Apple, Inc."
28-F0-76   ,"Apple, Inc."
28F076     ,"Apple, Inc."
84-28-5A   ,Saffron Solutions Inc
84285A     ,Saffron Solutions Inc
80-A1-AB   ,Intellisis
80A1AB     ,Intellisis
CC-79-CF   ,Shenzhen RF-LINK Elec&Technology Co.Ltd
CC79CF     ,Shenzhen RF-LINK Elec&Technology Co.Ltd
44-D8-84   ,"Apple, Inc."
44D884     ,"Apple, Inc."
EC-85-2F   ,"Apple, Inc."
EC852F     ,"Apple, Inc."
28-6A-BA   ,"Apple, Inc."
286ABA     ,"Apple, Inc."
70-56-81   ,"Apple, Inc."
705681,"Apple, Inc."
7C-D1-C3   ,"Apple, Inc."
7CD1C3     ,"Apple, Inc."
F0-DC-E2   ,"Apple, Inc."
F0DCE2     ,"Apple, Inc."
B0-65-BD   ,"Apple, Inc."
B065BD     ,"Apple, Inc."
A8-20-66   ,"Apple, Inc."
A82066     ,"Apple, Inc."
BC-67-78   ,"Apple, Inc."
